,Title,Director,Cast,id,genres,imdb_id,original_language,popularity,release_date,runtime,vote_average,vote_count
0,Kaun Pravin Tambe?,Jayprad Desai,Shreyas Talpade,946652.0,Drama,tt18568902,hi,3.118,2022,2 hrs 13 min,7.3,10
1,Cobalt Blue,Sachin Kundalkar,"Prateik Babbar,Neelay Mehendale,Anjali Sivaraman,Neil Bhoopalam,Poornima Indrajith",897097.0,"Romance,Drama",tt15314640,hi,5.029,2022,1 hrs 52 min,6.4,18
2,Dasvi,Tushar Jalota,"Abhishek Bachchan,Yami Gautam,Nimrat Kaur",799713.0,"Drama,Comedy",tt14107554,hi,4.485,2022,2 hrs 7 min,5.4,18
3,Hurdang,Nikhil Nagesh Bhat,"Sunny Kaushal,Nushrratt Bharuccha,Vijay Varma",809309.0,"Drama,Romance",tt10919304,hi,3.69,2022,2 hrs 2 min,5.0,2
4,Jersey,Gowtam Tinnanuri,"Shahid Kapoor,Mrunal Thakur,Pankaj Kapur",679018.0,Drama,tt5301942,hi,9.077,2022,2 hrs 55 min,7.0,31
5,Operation Romeo,Shashant Shah,"Sidhant Gupta,Vedika Pinto,Sharad Kelkar,Bhumika Chawla,Kishor Kadam",957136.0,"Drama,Thriller",tt18923048,hi,1.853,2022,2 hrs 15 min,6.2,5
6,Runway 34,Ajay Devgn,"Amitabh Bachchan,Ajay Devgn,Rakul Preet,Boman Irani",766116.0,"Thriller,Drama",tt11460992,hi,7.258,2022,2 hrs 21 min,6.5,33
7,Heropanti 2,Ahmed Khan,"Tiger Shroff,Nawazuddin Siddiqui,Tara Sutaria",678835.0,"Action,Drama,Romance",tt11873440,hi,5.625,2022,2 hrs 22 min,4.8,12
8,Mere Desh Ki Dharti,Faraz Haider,"Anupriya Goenka,Anant Vidhaat,Brijendra Kala",913532.0,"Comedy,Drama",tt12484724,hi,2.841,2022,2 hrs 22 min,7.2,3
9,Thar,Raj Singh Chaudhary,"Anil Kapoor,Harshvardhan Kapoor,Fatima Sana",941596.0,"Western,Action,Thriller,Drama,Crime",tt14479746,hi,4.267,2022,1 hrs 48 min,6.4,22
10,Jayeshbhai Jordaar,Divyang Thakkar,"Ranveer Singh,Shalini Pandey,Boman Irani,Ratna Pathak",678999.0,"Comedy,Drama",tt10393870,hi,7.13,2022,2 hrs 4 min,5.9,16
11,Bhool Bhulaiyaa 2,Anees Bazmee,"Kartik Aaryan,Kiara Advani",695962.0,"Horror,Comedy",tt6455162,hi,8.781,2022,2 hrs 22 min,6.2,52
12,Dhaakad,Razy Ghai,"Kangana Ranaut,Arjun Rampal,Divya Dutta",712863.0,Action,tt10598156,hi,6.605,2022,2 hrs 11 min,5.0,9
13,Anek,Anubhav Sinha,Ayushmann Khurrana,888268.0,"Action,Thriller",tt13919802,hi,5.415,2022,2 hrs 26 min,6.2,18
14,Samrat Prithviraj,Chandraprakash Dwivedi,"Akshay Kumar,Sanjay Dutt,Sonu Sood,Manushi Chhillar",611598.0,"Action,Drama,History",tt9637132,hi,10.579,2022,2 hrs 16 min,7.2,13
15,Janhit Mein Jaari,Jai Basantu Singh,Nushrratt Bharuccha,768466.0,"Comedy,Drama,Romance",tt13534808,hi,2.397,2022,2 hrs 26 min,6.8,6
16,Ardh,Palash Muchhal,"Rajpal Yadav,Rubina Dilaik",945324.0,"Drama,Comedy",tt20840000,hi,1.52,2022,1 hrs 24 min,8.0,1
17,Nikamma,Sabbir Khan,"Abhimanyu Dassani,Shirley Setia,Shilpa Shetty",693841.0,"Action,Comedy",tt10687220,hi,2.52,2022,2 hrs 27 min,3.8,4
18,Forensic,Vishal Furia,"Vikrant Massey,Radhika Apte,Prachi Desai,Rohit Roy",915867.0,"Crime,Thriller",tt15121860,hi,1.827,2022,2 hrs 9 min,4.8,5
19,Rashtra Kavach Om,Kapil Verma,"Aditya Roy,Sanjana Sanghi",764928.0,"Action,Thriller",tt9115574,hi,2.948,2022,2 hrs 15 min,5.8,4
20,HIT: The First Case,Shailesh Kolanu,"Rajkummar Rao,Sanya Malhotra",887109.0,"Crime,Mystery,Thriller",tt13130760,hi,5.834,2022,2 hrs 16 min,6.4,16
21,Jaadugar,Sameer Saxena,"Jitendra Kumar,Jaaved Jaaferi,Aarushi Sharma",821119.0,"Comedy,Drama,Romance",tt13793230,hi,3.355,2022,2 hrs 47 min,6.6,17
22,Judaa Hoke Bhi,Vikram Bhatt,"Akshay Oberoi,Aindrita Ray,Meherzan Mazda",988988.0,"Horror,Thriller",tt21237108,hi,1.4,2022,1 hrs 54 min,0.0,0
23,Shabaash Mithu,Srijit Mukherji,Taapsee Pannu,911154.0,"Drama,History",tt6265050,hi,4.346,2022,2 hrs 36 min,6.3,10
24,Shamshera,Karan Malhotra,"Ranbir Kapoor,Sanjay Dutt,Vaani Kapoor",539686.0,"Action,Drama,Adventure",tt8426926,hi,104.945,2022,2 hrs 38 min,5.5,25
25,Ek Villain Returns,Mohit Suri,"John Abraham,Arjun Kapoor,Disha Patani,Tara Sutaria",682401.0,"Action,Crime,Thriller",tt11947158,hi,7.474,2022,2 hrs 7 min,5.3,23
26,Good Luck Jerry,Sidharth Sengupta,Janhvi Kapoor,784940.0,"Comedy,Crime,Drama",tt13825336,hi,2.386,2022,1 hrs 58 min,5.4,8
27,Darlings,Jasmeet K Reen,"Alia Bhatt,Shefali Shah,Vijay Varma",801526.0,"Comedy,Crime,Thriller",tt14152140,hi,6.162,2022,2 hrs 14 min,7.1,38
28,Laal Singh Chaddha,Advait Chandan,"Aamir Khan,Kareena Kapoor,Naga Chaitanya,Mona Singh",601635.0,"Drama,Romance",tt10028196,hi,9.746,2022,2 hrs 37 min,6.6,43
29,Raksha Bandhan,Aanand L. Rai,"Akshay Kumar,Bhumi Pednekar",729700.0,"Comedy,Drama,Family",tt12834962,hi,4.704,2022,1 hrs 50 min,7.2,10
30,Dobaaraa,Anurag Kashyap,"Taapsee Pannu,Pavail Gulati",796207.0,"Science Fiction,Mystery,Thriller",tt14042066,hi,4.087,2022,2 hrs 15 min,5.5,14
31,Holy Cow,Sai Kabir,"Sanjay Mishra,Tigmanshu Dhulia,Nawazuddin Siddiqui,Sadiya Siddiqui",988228.0,"Comedy,Drama",tt9795686,hi,1.429,2022,0 hrs 0 min,4.0,2
32,Cuttputlli,Ranjit M Tewari,"Akshay Kumar,Rakul Preet,Chandrachur Singh,Sargun Mehta",956757.0,"Crime,Mystery,Thriller",tt15315164,hi,4.161,2022,2 hrs 14 min,6.1,14
33,Jahaan Chaar Yaar,Kamal Pandey,"Swara Bhasker,Meher Vij,Pooja Chopra,Shikha Talsania",802793.0,"Comedy,Drama",tt19289040,hi,1.028,2022,2 hrs 10 min,0.0,0
34,Matto Ki Saikil,M. Gani,Prakash Jha,743202.0,"Family,Drama",tt13174734,hi,0.64,2022,1 hrs 35 min,0.0,0
35,Middle Class Love,Rantnaa Sinha,"Prit Kamani,Kavya Thapar,Eisha Singh,Manoj Pahwa",1009723.0,"Comedy,Drama,Romance",tt21613328,hi,1.252,2022,2 hrs 10 min,7.0,1
36,Saroj Ka Rishta,Abhishek Saxena,"Sanah Kapur,Kumud Mishra,Gaurav Pandey,Randeep Rai",1007946.0,"Drama,Comedy",tt8690140,hi,1.778,2022,2 hrs 2 min,0.0,0
37,Atithi Bhooto Bhava,Hardik Gajjar,"Jackie Shroff,Pratik Gandhi,Sharmin Segal",788944.0,"Comedy,Drama",tt13892718,hi,1.951,2022,1 hrs 53 min,9.0,2
38,Dhokha: Round D Corner,Kookie Gulati,"Aparshakti Khurana,Darshan Kumar,Khushalii Kumar",1005581.0,"Crime,Thriller",tt10644708,hi,3.238,2022,1 hrs 48 min,5.4,9
39,Plan A Plan B,Shashanka Ghosh,"Riteish Deshmukh,Poonam Dhillon,Kusha Kapila",1018220.0,"Romance,Comedy",tt15238986,hi,5.522,2022,1 hrs 46 min,6.067,15
40,Vikram Vedha,Pushkar–Gayathri,"Saif Ali,Hrithik Roshan,Radhika Apte",851783.0,"Action,Crime,Thriller",tt13131350,hi,7.533,2022,2 hrs 40 min,7.3,18
41,Maja Ma,Anand Tiwari,"Madhuri Dixit,Gajraj Rao,Ritwik Bhowmik,Barkha Singh",969797.0,"Comedy,Romance,Drama",tt19864958,hi,5.976,2022,2 hrs 15 min,5.6,8
42,Nazar Andaaz,Vikrant Deshmukh,"Kumud Mishra,Divya Dutta,Abhishek Banerjee",1026792.0,"Comedy,Drama",tt22325566,hi,2.995,2022,1 hrs 43 min,5.5,2
43,Doctor G,Anubhuti Kashyap,"Ayushmann Khurrana,Rakul Preet,Shefali Shah",778625.0,"Comedy,Drama",tt9054970,hi,5.063,2022,2 hrs 4 min,6.9,22
44,Code Name: Tiranga,Ribhu Dasgupta,"Parineeti Chopra,Harrdy Sandhu,Sharad Kelkar",1021166.0,"Action,Thriller",tt22099068,hi,2.243,2022,2 hrs 17 min,4.8,5
45,Ram Setu,Abhishek Sharma,"Akshay Kumar,Jacqueline Fernandez,Nushrratt Bharuccha,Satya Dev",764081.0,"Action,Adventure,Drama",tt11783766,hi,5.135,2022,2 hrs 29 min,5.275,20
46,Thank God,Indra Kumar,"Ajay Devgn,Sidharth Malhotra,Rakul Preet",783723.0,Comedy,tt13795296,hi,5.553,2022,2 hrs 1 min,6.9,22
47,Phone Bhoot,Gurmmeet Singh,"Katrina Kaif,Ishaan Khatter,Siddhant Chaturvedi",726207.0,"Horror,Comedy",tt12740760,hi,6.995,2022,2 hrs 17 min,5.6,14
48,Double XL,Satramm Ramani,"Sonakshi Sinha,Huma Qureshi,Zaheer Iqbal,Mahat Raghavendra",915776.0,"Comedy,Drama",tt15614274,hi,1.946,2022,0 hrs 0 min,6.0,5
49,Tadka,Prakash Raj,"Nana Patekar,Shriya Saran,Ali Fazal,Taapsee Pannu",449627.0,"Comedy,Drama,Romance",tt5705876,hi,3.359,2022,1 hrs 55 min,7.3,3
50,Rocket Gang,Bosco Martis,"Aditya Seal,Nikita Dutta",1035366.0,"Comedy,Fantasy,Horror,Music",tt21386020,hi,1.96,2022,2 hrs 20 min,6.0,1
51,Uunchai,Sooraj Barjatya,"Amitabh Bachchan,Anupam Kher,Boman Irani,Danny Denzongpa,Parineeti Chopra,Neena Gupta",1009432.0,"Comedy,Drama,Family",tt15309708,hi,4.449,2022,2 hrs 49 min,6.0,10
